  Tweets,Hasil
the real selebriti internasional kerennnn sunbae guee,1
"ini serius nanya, bukan udh resiko jadi selebriti, kehidupan nya dipublish, style nya diikutin bnyk org, kayak pasti bnyk peniru dan hc peduli gitu sama peniru” kayak gitu ? which is pasti hc tau dia yg paling bersinar walaupun bnyk yg niru dia",0
"no salty, cuma penasaran.
knp setiap idol kpop datang ke indo, pasti akan ada aja selebriti atau artis yg ngundang mereka. kok mau2 aja gitu? alasannya apa?",0
"Dok, cb usaha jd horang terkenal/selebriti...dan rasakan btapa tdk enaknya saat di krubutin penggemar /fans . Dari gesture pak anies sdh usaha menjaga.",0
"serius gak tau? itu karna pemain bola bekerja dgn menjual skill, org suka karna mereka jago main bola, mayoritas selebriti kerja dgn menjual tampang contohnya seperti idol kpop, bnyk org suka karna mereka cakep, kalau punya pacar apalagi punya anak jelas fansnya akan berkurang.",0
"Ko orang2 pada bisa bayangin fake scenario yg imajinatif sebelum bobo?? Gw pengen bisa juga doong tapi gak bisa2 🥹 mentok-mentok mikirin skenario mendekati realita kyk tiba2 deket/jadian ma crush, jadi selebriti, gitu doang. Suka salut sama yg khayalannya tingkat tinggi",1
"Drakor tahun 2004. Judulnya I'm Sorry, I Love you.
Ceritanya tentang anak yang mikir dia dibuang ibunya karena ibunya miskin. Terus karena kepalanya ketembak, dia cm punya bbrp bulan buat cari ibunya. Tapi ternyata ibunya selebriti tajir mampus dan punya anak yg dirawat banget.",0
- buka kelambu + skandal selebriti - Casanova - roommates + Iridescent Dan masih banyak lagii best au [ soalnya lupaa]🫶🫶🫶🫶,0
"Gapapa bu, ikhlasin aja. kan waktu masih muda belum se beken ini.. lagian klo gak diklarifikasi blm tentu pada percaya ada selebriti jalan2 naik mobil pickup..",0
"Orang blogger ketemu uri seonho dikira pria hk sampai dibilang sangat cocok menjadi selebriti,yeah uri seonho selebriti aktor korea😁🥹 wooah dia sangat tampan dan imut dengan milky white skin cerah😍😍🫠🫠😭
Thank you for sharing🙏😍💙",1
"wondering why fashion brand ngegaet pria dan wanita kpop wkwkwk. ternyata pas di cek ke google jawabannya adalah korean wave, fans fanatik, selebriti korea berhasil mendunia",0
"Ga sabar konten besok! 🥰
Mereka keliatan enjoy bgt seru wkwk semoga aja fullnya gtu yaa, btw bgt w yg org Indo aja gtau siapa selebriti yg disebut Jeongwoo 😭🤣",1
"Moon Sang Min, seorang selebriti asal Korea Selatan, dikenal dengan gaya busananya yang keren dan santai. Ia sering tampil dengan busana casual yang membuatnya terlihat stylish dan modern.",1
"Mirip2 Buzzer lah cm klsnya lbh tinggi, ntar influencer dari lawan beda lagi narasinya🤣Influencer seseorang yang bisa memberikan pengaruh di masyarakat. Contohnya seperti selebriti, blogger, youtuber, ataupun seorang public figure yang dianggap penting di komunitas tertentu",0
"Majikannya lemah, yg di issuekan body shaming istrinya Anies. Murahan banget. Ini bukan milih selebriti Coy. Ini milih negarawan. Kalau presepsi kalian begitu dangkal. Apa boleh buat selamanya kau jadi dongok &amp; jongos.",-1
bkn maen emg selebriti sekabupaten cheonan 😭😭😭😭😭☝️☝️,1
"Kita dulu diajarin bikin berita dari story instagram gak sih dam? Atau gwnya yang ketinggalan pas ada materi itu, atau gw gak ikut kelas buat berita selebriti kayaknya.",0
mungkin karna hidupku ga ada romantisasi sama sekali makanya aku sangat amat enjoy meromantisasi selebriti,0
"Saga transfer politisi dalam 2-3 bulan kedepan sangat menarik sepertinya. Terutama untuk para selebriti Gen Z.
Tinggal menunggu dari kalangan selebgram, selebtwit, dan Youtuber. 👌
TikTok, anyone?",0
"bayangin itu diblkg jm selebriti sm media semua lohhh, always being the main character at every chance 😌🥰",1
"Ampe skrg juga gue masih amaze kalau ada orang yg ga kpopan tau seventeen, acara variety show korea pake lagu svt, terus nama svt disebut sbg nama selebriti terkenal di variety show korea
Kayak....sumpah gengs kalian tuh udh seterkenal ini skrg????? 😭😭",1
