Tweet,Hasil
"malahan gua ngerasa ini lebih ngebosenin dari jaman covid, gilaaaa",0
"karena duitnya covid gede, ya kan om dokter?",0
"Mjb, karena covid-19, dihentikan sebelum match terakhir. Kemudian penentuan juara lewat points per match. Chelsea dengan 39 points dari 15 games punya points per match 2.6. Man City dengan 40 poin dari 16 games punya points per match 2.5. Makanya juara dikasih ke Chelsea.",0
"inget covid semua anggara negara hbs nya buat rakyat, mesti bnyk utang tpi bnyk kerja bnyk pembangunan ga bnyk yg mangkrat🤭",-1
"lama jg ga kesana, tp hongkong teh inget gue gajadi kesana gara2 mulai ada covid sama inget seseorang...",0
era covid wkwkwk seru banget twitter pas masa itu,1
Yg kena covid bukan Jakarta aja blog🤣🤣🤣kota-kota besar lainnya di dunia juga terdampak covid blog🤣🤣😛,-1
"Kalau covid, kata gua, lu stop betingkah.",0
Justru jaman covid itu paling banyak maling anggaran,-1
"Waktu itu kan covid, apa membolehkan mendatangkan mereka???
Sholat saja dikasih jarak
Harus vaksin masuk mall aja
Iiiih mikiiiiir🙄🙄",0
Pandemi covid adalah operasi yang di rencanakan dengan hati-hati sejak lama dan saya sebut juga Big money operation.,-1
Cuman ekskull dan aku ikut Tapi sebentar keburu covid,0
"Mengungkapkan Suatu rencana disertai dgn ada usaha kearah trsbt yg disertai dgn ucapan insya Allah, namun belum berhasil maka itu bukan suatu pembualan, krn kepastiannya diserahkan kpd Tuhan, kan manusia berusaha, yg datang kayaknya u 20 Barca, kita jg sdh bebas dri covid-19.",1
"Ya gmn lg kalau STY sendiri yg gmw perpanjang.
Mungkin terlanjur byk kecewa dgn kejadian2 selama ini macam penanganan covid, kanjuruhan, kekisruhan di liga 1 - 3, sampai pildun u20 gagal. Mungkin yg kasus pildun u20 yg bikin doi makin jengkel jadinya males lama2.",-1
Yes pasar gadong tu... byk choice klu visitor dtg mmg bawak sana haha. Brunei food mmg murah tapi ada je naik harga semenjak covid ni...,0
CW: long covid,0
"Serba salah ntar sedikit wisatawan masy ny berteriak krna pendapatan berkurang, contoh saja pas covid. Dan klu semua di bikin agak mahal harga ny yg akan menikmati kebanyakkan pengusaha2 kelas menengah ke atas dan yg ukm2 akan berkurang pendapatannya.",-1
"Lagian klo pake alesan covid seluruh dunia juga covid, dikiranya cuma provinsi jakarta",0
Same energy pakcik pas yg tangkap covid tu..sape ade video bole share🤣🤣,0
Ini jaman abis covid ya kak?,0
"Inget dulu Raditya Dika suka cerita ttg kuliahnya di Adelaide. Akhirnya bisa bawa keluarga dia kesana karena kmrin2 gak sempet gara2 covid kalo gak salah. Aku jd kepengen banget ke Adelaide 😭 Percaya sih, habis ini pasti bakal meningkat turis Indo kesana gara2 nontonin vlog dia.",0
"Menjelaskan hal yg kompleks di twitter itu saya rasakan begitu sulit. Bagi saya lho ya. Sepotong-sepotong, harus meringkas, menyiapkan urutan dst. Takut salah dan salah pemahaman. Soal dibully, sptnya sudah lumayan mengalami terkait JKN dan covid. Mangga, salam akhir pekan.",0
"1. Kalau g ada lab jutaan tes covid bisa selesai sehari dimana goblok?! Di warteg?!
2. G semua orang goblok dan tinggal di kolam kayak lo, jelas pemda ngundang baca dan atletico ada jejak beritanya",-1
jangan sampe covid lagi please,1
Tahun ini bisa dikatakan negara kita lepas dari transisi pandemi covid 19 dan juga berkaitan dengan pariwisata. Pak Sandiaga juga menyebutkan pariwisata menjadi unggulan pasca pandemi. Apa sih strateginya menurut pak Sandiaga?,0
Kalau aku la akak polis kt blkg tu.. dh banjir mcm apa agaknya hahahahah sbb teringat anak kt rumah la smua benda nk relate dgn anak sendiri kan haruslahhhhh. Bpisah 7 hari covid pun nangis mcm tiada hari esok apatah lagi begini,0
"Waktu zaman covid, pernah DM Pak Tri minta RS ksong buat Mama. Alhamdulillah dibales tp 3 hr kmudian. Gpp. Cuma waktu udah bikin pengaduan genangan banjir di Jl. Mess AL ke instansi terkait dan lapor ke twit ke beliau, blm jg dikerjain. Apa perlu DM lg?",0
ga puas apa ya orang2 dinas kesehatan ini udah ngambil banyak pas covid e sekarang proyek rsud juga diambil,-1
"Ini hasil karyamu atau jiplak ..kemiskinan dll ngombal dan asumsimy bangsat..utang naik Krn ada utang dr era era ke era PDB mu bohong setan, kemiskinan bohong LG setan!..SPT buzzer anies nulis JKT berkurang macet saat anies.ksn anjing org itu..saat covid siapa yg jln..anjing",-1
"sekk taa, mosok aku covid ???!!!",0
"Data kurang ajar dr manusia iblis..karena tdk melihat sikon covid dll...bandingkan SM Sukarno SJ...dan Suharto saat hebatnya dan bandingkan THN 1998..,kau sarjana ya?? Tapi bodohnya minta ampun!..taiklah kau",-1
"AI tiba2 naik kepermukaan setelah covid agak sus sih, tau2 ChatGPT punya user terbanyak dalam waktu sebulan ngalahin yg lain",0
g ad krna covid,0
"Concert diluluskan kerajaan tebuk atap PAS dan tertunda sbb covid. Kalau tiada covid, dah selesailah concert dijlnkan pd era tersebut, macam konsert yg lain. Tak dgr ustaz atau ugamawan yg tegur? Memiih milih buat teguran? Salahsatu sbb mereka tak dihormati?",0
nak tanya kalau covid then your throat will feel sore teruk ke ? and macam nak terbatuk every time ?,0
Kadrun Yaman lbh bahaya dari wabah covid,-1
Beda kondisiiiiii . Jaman SBY tidak ada covid bersyukurlah kalian,0
"Ya bnyk konsekwensi, scr global ekonomi lesu, ada perang, ada covid-19, banyak demo buruh dn UMR.
Bnyk pindah (relokasi) di Jawa Tengah.",0
"2020-2021 gue rajin masuk IGD karena asam lambung kmbuh terus gara2 stress sama kerjaan dll, ga ada tempat cerita karena itu jaman covid jadi susah ketemu temen2 yg biasa diajak nongkrong bareng, jadi kalo sekarang gue keliatan seneng dan selalu nongkrong tiap malem ya kenapa????",0
"Nope, because my sekolah is so burik dan pelit nilai najis. Jadi gak sakit ati (sakit dikit sebenernya). Sakit hatinya lebih ke gara-gara pelit nilainya cuma ke angkatanku doang, giliran ke adkel aja murah nilai ngentot. Gara-gara covid jadi ga berani ngasih lebih katanya 🤡",-1
The Gentlemen tuh wowwiee syekalii masamasa covid kemaren. Blm nntn covenant tp reviewnya sedep. Lah ini operation fortune kok malah downgrade x( sad. padahal ada mba audrey plaza....y terus,0
"Baca datanya tong, bahkan sblm covid dimasa Anes dia sudah berhasil menurunkan peringkat kemacetan di JKT. Buka lagi data lainnya pengguna transportasi publk sblm Covid melompat dari 300 ribu lebih menjadi lebih dari 1 juta lebih, datanya perlu gue suapin juga ke elu?",0
"sempet hiatus nonton anime trs balik lg pas awal covid krn gabut kan ya, dan salah satu yang ku tonton adalah daiya trs sampe sekarang gabisa move on 😭",0
2019 awal x 2020 awal x 2021 akhir Keliatan kan awalnya cungkring banget tbtb habis covid malah jadi mleber.,0
Saya warga jateng. UMR rendah. Semenjak era covid ekonomi tdk stabil sprti daerah lain. Buruh yg d PHK wirausaha mandiri tp daya beli melemah.,0
same rata ywaa covid,0
"saya mendengar banyak yang bilang covid covid terus, terlalu anggep covid tuh sebagai krisis banget padahal waktu sby lebih parah perbandingannya cuma media belum selancar jaman sekarang jadi hanya keliatan separuh tidak sepenuhnya kinerja bpk sby. ya semua ada permainannya",0
aku kesini sama pocari tapi hanya online karena covid 😭🙏🏻,0
"Dpib, tapi jangan berekspektasi tinggi soalnya aku lulusan covid 🙏",0
Dari abis magrib sampe jam segini kok sering banget ambulance lewat wara wiri ngiung ngiung kek ngebut gtu yah. Trauma jaman covid delta dah gua jdinya,0
"ga mikir apa yaa dampak covid kemarin tu bikin siswa siswa belajarnya jadi kendorr makanya guru harus ekstra ngajarin dan sabar, eh malah skrg kek gini, ya tanpa tanda jasaa si tp kan kuliah jg ga murah anjr",0
"Btw dri bangun usaha di ibu kota yg sedang meredup usai covid dan usaha di daerah yg cukup membantu untuk niat membangun lagi kantor di Ibu kota, udah mulai rindu Ngantor banget banget, mikir lagi, ketemu temen sharing+ lagi anak” kantor, yg watak nya beda” dengan target yg sama",1
"Fitch mencatat, perubahan proyeksi harga timah itu karena adanya sejumlah peraturan yang mengancam pasokan timah di pasar global. Sementara, permintaan China terhadap timah tetap rendah meskipun ekonomi Negeri Tirai Bambu itu sudah dibuka kembali pasca pandemi Covid-19. """,-1
Karantina covid malahan dia mah,0
Teruk eh covid aku kalini,0
"beneran bukan permulaan yg baik, selama SMA peringkat ku turun jauh bgt, mana covid lagi, sekolah cuma 1,5thn doang. kuliah juga gagal masuk semua PTN/jurusan favorit. berantakan dah pokoknya wkwk",0
"Haloo, kalau disini ada yang sesuai dengan kriteria responden berikut:
1. Pelaku UMKM
2. Usahanya masih berjalan selama masa pandemi Covid-19
3. Sudah menjalani usaha minimal 1 tahun
Mohon bantuannya untuk mengisi kuesioner di bawah ini yaa:
Makasii🤍",0
"bukan masalah balik modal, PTN maruk, adik gw kemarin zaman covid harusnya ada keringan pembayaran UKT, malah ngga dianggep, ujung-ujungnya UKT yang harus nya bar 8x, jadi 9x dengan segala celah dan ancaman tidak dilulusin.",0
"Bila tengok Inara tidur tenang ni, teringat time dia kena covid haritu.
She barely can sleep, temperature dia naik sampai 39 so easily and I did not sleep at all malam malam to ensure her breathing tak teruk",0
Sebelum covid menyerang,0
"Mantap ...
Masukan...gagasan...diskusi ...
Ada masukan lagi....muncul gagasan lagi....didiskusikan lagi ...
Gitu aja terus sampe lab covid diam2 bangun....dari mimpi
Miahahahahahhahaha",-1
Citer pasal najib sblm covid😂🤣citer pasal untung juta2 yg songlap bilion2..standard penyamun dgn macai nya,0
Akhire nonton konser setelah covid😅 Begiiittuu indaahhhhh,1
"gw dl pas masuk SMA disuru foto sm kambing, krn gw gapunya kambing yaa gw editlah foto gw sampingnya ada kambingnya. gw ga boong beneran gw punya fotonya tapi gtau ada dilemari yg mana😭 kan gw ga tau kambing tu singkatan doang, gw baru sadar pas jaman covid dan itu udh kls 12🥹",0
"Saya jualan, di kota Manado, bulan mei ini sepi sekali, dan bukan cuma jualan aja sepi, ojol, dan usaha lainya sepi banget, bahkan supermarket paling murah dan laris dimanado super sepi pembeli, keadaanya kayak ,akhir Maret 2020 saat covid pertama kali masuk Indonesia",0
"- sementara
- satgas covid-19
- keluarga be(re)ncana
- bismillah biru - skoliosis (ank osis) - 20/21 (ank paskas)",0
"Selain covid, korupsi juga menular😭",0
Wajar dijegal ... alasan masih covid,0
