Tweet,Hasil
Bisa langsung wa ka ada di bio kebetulan aku baru buka jasa joki lagi ngumpulin testi,0
Cv saldo paypal udah open yaa rate 14.100 testi di pinned yaa,0
"etapi menurut gue, buku ini segini 70k udah murah. soalnya ini eng, terus rating di goodreads juga bagus. biasanya tuh gue cari di shopee rata-rata buku eng 100k ke atas :"")",1
"alhamdulillah ada hasil juga sering naikin produk, ada yang satset co... lopyuu buyer shopee 🥹🫶🏻",1
Bisa2nya lg rekap jajan based on screenshotan bukti tf tp lupa ikutan po dimana😭😭😭😭😭 untung tfnya via shopee jd bs diklik profilnya. Dasar aku,0
"Tokonya shopee mall tapi harga softlens nya murah, cuma beli softlens sama solution nya doang padahal tp dikasih free gift. Softlens gratis yang didapet pasti minus nya sama kaya yang dibeli, tapi expired nya agak cepet sih jd harus cepet dipake",1
"Hadeh banget oknum kurir shopee xpress, barang ilang bilangnya mau tanggung jawab yaudah ga jadi lapor cs eh udh sebulan kaga diganti juga",0
"daftar lewat shopee cuman foto diri sendiri, ktp terus foto diri sendiri + ktp. abis itu di vc sama cs seabank, ditanya nama sama nama ibu terus terakhirnya disuruh ke arah muka terus ktpnya biar dipastiin data-datanya bener",1
"mending barang lokal nder daripada kw, barang lokal banyak yg oke kokkk coba deh liat shopee nya",1
"ya bantuin cari tau mulainya jam berapa atuh
nyuruh² ikutan taunya mulai jam 10.00 kayak yg shopee,",0
"Tibatiba pengen punya pacar, cari di shopee ada g ya",0
"halloo morning guys, aku open kembali ya ^^
aku open jasa/joki tugas, ketik, tulis, ppt. ohh ya aku jg ada basic ilmu keperawatan, sama ada voucher gratong shopee yg lagi nyari bisa ke aku 💗💗",0
iniii 40k untuk real picturenya bisa lihat di testi shopee yaaah 😻,1
Ini paket pake shopee express 2 hari ketahan di cakung tuh artinya ikhlasin aja apa gimana sii? G gerak gerak 🥲🥲 dulu pernah kaya gini ujung2nya ilang paketnya,-1
Chelsea bisa coba main di liga shopee dulu fi.,0
"kalo daftar lewat shopee langsung mudah si, siapin ktp aja. seinget aku cuma ituu",1
"3. Pulangnya, aku mau ke roxy phu, mau beli powerbank. Kemarin beli di shopee tapi gabisa ngecharge. Emang udah paling bener kayak biasa biasanya, kalau beli elektronik mending beli langsung
4. Setelah itu aku gatau mau ke kkv atau lulu. Soalnya ponakanku kepengen banget ke lulu",1
"aku bisa kalo masih cari, spay dah prem sopi freeong extra, tp ak dom kab tangerang lg senggang jugaa dan lumayan tau beberapa pc nct karna aku nctzen jggg, aku dh peking 350+ paket dan 250+ testi on shopee. hmu kak!",0
"Berbagai sepatu lucu di shopee🐶
Sebuah Utas 🔥🔥",1
"Halooo aku baru join shopee affiliate, mutualan yuk
Help rt yaa, thank you🙌",0
Aku dipesenin sama temen kakk di shopee cari yg bisa custom gambar gituu😆,1
"hi kak jgn bingung terkait ingin daftarin KTP di akun baru mimin infoin ya, 1 KTP hanya bisa digunakan untuk 1 akun shopee ya kak. Kalau kedepannya ada pertanyaan atau kendala terkait Shopee jangan ragu buat hub aku melalui DM. Stay safe 🙏^MF",1
"Rekomendasi racun shopee 🍊
Cek Tas Manik Murah/Beaded Bag/Pearl Bag dengan harga Rp58.500 - Rp95.500. Dapatkan di Shopee sekarang!",1
mimpi ada orang datang ke rumah minta sumbangan koin shopee 😅,1
"Rekomendasi racun shopee 🍊
Cek PINK MALL - Tas wanita/ Tas selempang Tas Handbag Import Tas Fashion/Baru 2022 dengan harga Rp45.000. Dapatkan di Shopee sekarang!",0
"Rekomendasi racun shopee 🍊
Rok panjang wanita kekinian ootd viral fashion murah bawahan berkualitas tinggi tebal bagus terjangkau anti nerawang motif gambar lucu imut aesthetic warna cantik bagus Ara pleated skirt dengan harga Rp65.000. Dapatkan sekarang!",0
beli di shopee nama tokonya yutmart,0
foto sehabis dijadiin kurir shopee sm dapid,0
"tas andalan paling simpel, beli di shopee 50k an aja :)",1
"halo aku baru join shopee affiliate yang mau yuk kita mutualan, help rt/like postingan yaa",1
Kok isi pulsa Axis via shopee gagal terus yaw? Ini Axis kenapa?,-1
"aslii, sekali co shopee gapernah dibawah 100k 😭😭😭",1
"1. Jgn topup shopee pay
2. Jgn withdraw cash byk tahu2 licin 🤣
3. Compare groceries antara mall. 4. Stock up skincare masa sales kaw kaw 🤣
5. Dpt gaji lepas tolak semua expenses wajib, pecah masuk savings dgn belanja haram 6. Sedar diri miskin",-1
"kalau dapet good deals tuh berasa manusia paling beruntung sedunia, diskon dari open endingnya terus free ongkir + diskon 10% lagi. tumben banget shopee🤤✨",1
"Hi Everyone, i just launched Garlic Chi-Yoi di shopee! Stok Terhad sebab masih belum tahu market macam mana. Boleh tlg rt tanda sokong pun dah cukup. terima kasih semua",1
syapa yg malem2 gabisa tidur malah co shopee? guee 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️,0
gw kelaperan jnck gabisa top up shopee. bank anjg hufttt,-1
"Ada kemungkinan karena pengguna menurun, makanya masih rugi. Gue sendiri udah lama gk pake tokped dan gojek, kecuali bener2 urgent (tokped buat beli pulsa). Gimana ya, memberatkan semua pihak soalnya, cus, seller, driver, resto.",0
Pake tokped aja skrng juga banyak tambahan biaya biayanya jadi off aja lah pake si ijo... Ganti yg masih free,1
"Kemarin jual sepatu via tokped, harga yg dijual 1,450 fee nya sekitar 60rb an. Gara-gara pake power merchant, pake itu juga kunjungan ke toko engga ada pengaruhnya",1
"Saya checkout Aerostreet-nya di tokped, tahun lalu...",0
Jangan lupa tokped ada biaya aplikasi nya. Tambahan 2ribu dan 1ribu 😥,-1
Jadi inget taehyung bilang 'tahu gezrot' di iklan tokped 🤣🤣🤣,1
sampoerna n p&amp;g !!! tokped unilever rg mah gak sampe umr gak sih??? mepet doank,0
"tidak worth dalam hal apa?diskon?gw selama pake tokped ga ada masalah,checkout ga ada embel² lain.",-1
"Menikmati sisa2 murahnya belanja kebuthan dapur di tokped wkwk
Kapan lagi ga sampe 200 ribu dapet ayam 5 kilo diantar ke rumah.",1
"Holdrey di shopee yak nanti search aja, kalo yg alma bag ini setauku dah sold aout nunggu restok dulu pantengin ignya aja soalnya warnya manteb
Kalo josvli di tokped yak adanya kalo ga di website official mereka",1
"gw tonton ampe abis, udh nyari2 sparepart scroll wheel di tokped, ternyata di akhir video ada tulisan kalo scroll lu rusak, coba ditiup sekenceng mungkin, gw kira becanda kan, TERNYATA BENERAN GA RUSAK LGI ANJ WKWKWKWK goblog banget anjg razer itu gmn ceritany bisa gitu cokkkkkk",-1
"OPEN🤗
menerima jasa bikin CV ATS friendly, CV kreatif, cover letter, &amp; buat surat lamaran. CV tembus itv user HMS, Shopee, Tokped, Gojek, Grab, Warpin, Unilever, P&amp;G, dll
contoh porto, 1700+ testi cek IG: WA:",0
"share di apk shopee, tokped dsb bisa nder, kalo ga di twt aja",0
"sumpah ya malesnya pake tokped tuh pasti gini allahu, tp sellernya bisanya pke tokped. nangis aja g si 😔😔 tokped flop mmf",-1
Balik jadi saldo tokped kok nder nanti tinggal dicairin aja,0
"Emg benar kt mama, nda bise diam tgn aku pengen checkout sopi atau tokped:)",1
"min aku kan baru daftar tadi,nah aku salah masukin alamat emailnya,bisa dirubah nggak yaa,soalnya kalau ada info yg masuk ke email otomatis gak bisa di akses dong,emailnya aja salah😢,sama proses admisiku belum diproses lunas,padahal udah bayar lewat tokped dan lunas",0
"the qrts 😭
lgsg buka tokped biar lupaak",-1
"Grab-gofood done, sopi-tokped done. Pelan2lah yes",0
Dia ngomong indo otak aku langsung ke tokped masa 😭,0
"Tergantung jenisnya kak. Kindle basic yg edisi 2022 dan baru (bukan preloved/refurbished) sekitar 1,8jt. Tipe lebih mahal jg ada. Kalau mau ngirit cari yg edisi lama dan preloved/refurbished. Cari2 aja di tokped atau toko oren.",0
